tags,count
['implementation'],443
['math'],221
['greedy'],178
"['implementation', 'math']",169
['dp'],152
"['greedy', 'implementation']",135
"['brute force', 'implementation']",128
"['greedy', 'math']",127
['constructive algorithms'],125
['*special'],122
"['constructive algorithms', 'math']",114
['data structures'],114
"['implementation', 'strings']",107
"['constructive algorithms', 'greedy']",103
"['math', 'number theory']",100
"['greedy', 'sortings']",90
"['constructive algorithms', 'implementation']",77
"['constructive algorithms', 'greedy', 'math']",69
"['combinatorics', 'dp', 'math']",63
"['dp', 'greedy']",61
['brute force'],60
['geometry'],55
"['data structures', 'implementation']",51
"['brute force', 'math']",51
"['data structures', 'greedy']",50
"['implementation', 'sortings']",47
"['data structures', 'dp']",43
"['greedy', 'implementation', 'sortings']",43
"['greedy', 'implementation', 'math']",43
"['combinatorics', 'math']",41
"['*special', 'implementation']",41
"['brute force', 'implementation', 'math']",40
"['brute force', 'greedy']",39
"['greedy', 'strings']",37
"['brute force', 'math', 'number theory']",36
"['combinatorics', 'dp']",36
"['binary search', 'data structures']",35
"['dfs and similar', 'graphs']",34
"['geometry', 'math']",33
"['greedy', 'math', 'sortings']",32
"['brute force', 'greedy', 'implementation']",31
['strings'],31
"['constructive algorithms', 'greedy', 'implementation']",31
"['constructive algorithms', 'math', 'number theory']",31
"['brute force', 'implementation', 'strings']",30
"['binary search', 'math']",29
"['dp', 'implementation']",29
"['data structures', 'trees']",29
"['dp', 'math']",27
"['bitmasks', 'dp']",26
"['brute force', 'greedy', 'math']",26
"['combinatorics', 'math', 'number theory']",25
"['binary search', 'greedy']",25
"['greedy', 'math', 'number theory']",25
"['constructive algorithms', 'implementation', 'math']",25
['graphs'],24
['sortings'],23
"['dp', 'greedy', 'math']",23
"['constructive algorithms', 'greedy', 'implementation', 'math']",23
"['data structures', 'greedy', 'sortings']",23
"['dp', 'strings']",23
['games'],22
"['constructive algorithms', 'greedy', 'sortings']",22
"['constructive algorithms', 'sortings']",22
"['data structures', 'dp', 'greedy']",22
"['brute force', 'constructive algorithms']",21
"['flows', 'graphs']",21
"['dp', 'greedy', 'implementation']",21
"['dfs and similar', 'graphs', 'trees']",21
"['dp', 'math', 'probabilities']",20
