Topics,count,clean_tag_list,standard_tag_list,platform,tags
['database'],310,['database'],['database'],leetcode,
"['array', 'dynamic-programming']",94,"['array', 'dynamic-programming']","['array', 'dynamic-programming']",leetcode,
['string'],62,['string'],['string'],leetcode,
['array'],61,['array'],['array'],leetcode,
['math'],49,['math'],['math'],leetcode,
"['array', 'greedy', 'sorting']",45,"['array', 'greedy', 'sorting']","['array', 'greedy', 'sorting']",leetcode,
"['array', 'hash-table']",43,"['array', 'hash-table']","['array', 'hash-table']",leetcode,
"['array', 'binary-search']",39,"['array', 'binary-search']","['array', 'binary-search']",leetcode,
"['string', 'dynamic-programming']",39,"['string', 'dynamic-programming']","['string', 'dynamic-programming']",leetcode,
"['array', 'greedy']",36,"['array', 'greedy']","['array', 'greedy']",leetcode,
"['tree', 'depth-first-search', 'binary-tree']",34,"['tree', 'depth-first-search', 'binary-tree']","['tree', 'depth-first-search', 'binary-tree']",leetcode,
"['array', 'math']",33,"['array', 'math']","['array', 'math']",leetcode,
"['array', 'dynamic-programming', 'matrix']",31,"['array', 'dynamic-programming', 'matrix']","['array', 'dynamic-programming', 'matrix']",leetcode,
"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']",28,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']","['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']",leetcode,
"['array', 'simulation']",27,"['array', 'simulation']","['array', 'simulation']",leetcode,
"['two-pointers', 'string']",27,"['two-pointers', 'string']","['two-pointers', 'string']",leetcode,
"['array', 'prefix-sum']",25,"['array', 'prefix-sum']","['array', 'prefix-sum']",leetcode,
"['array', 'sorting']",24,"['array', 'sorting']","['array', 'sorting']",leetcode,
"['hash-table', 'string', 'counting']",24,"['hash-table', 'string', 'counting']","['hash-table', 'string', 'counting']",leetcode,
"['array', 'string']",23,"['array', 'string']","['array', 'string']",leetcode,
"['array', 'hash-table', 'counting']",22,"['array', 'hash-table', 'counting']","['array', 'hash-table', 'counting']",leetcode,
"['hash-table', 'string']",22,"['hash-table', 'string']","['hash-table', 'string']",leetcode,
['dynamic-programming'],22,['dynamic-programming'],['dynamic-programming'],leetcode,
"['array', 'bit-manipulation']",21,"['array', 'bit-manipulation']","['array', 'bit-manipulation']",leetcode,
"['hash-table', 'string', 'sliding-window']",21,"['hash-table', 'string', 'sliding-window']","['hash-table', 'string', 'sliding-window']",leetcode,
"['array', 'hash-table', 'string']",20,"['array', 'hash-table', 'string']","['array', 'hash-table', 'string']",leetcode,
