QID,title,difficulty,categorySlug,topicTags
1,Two Sum,Easy,algorithms,"array,hash-table"
2,Add Two Numbers,Medium,algorithms,"linked-list,math,recursion"
3,Longest Substring Without Repeating Characters,Medium,algorithms,"hash-table,string,sliding-window"
4,Median of Two Sorted Arrays,Hard,algorithms,"array,binary-search,divide-and-conquer"
5,Longest Palindromic Substring,Medium,algorithms,"two-pointers,string,dynamic-programming"
6,Zigzag Conversion,Medium,algorithms,string
7,Reverse Integer,Medium,algorithms,math
8,String to Integer (atoi),Medium,algorithms,string
9,Palindrome Number,Easy,algorithms,math
10,Regular Expression Matching,Hard,algorithms,"string,dynamic-programming,recursion"
11,Container With Most Water,Medium,algorithms,"array,two-pointers,greedy"
12,Integer to Roman,Medium,algorithms,"hash-table,math,string"
13,Roman to Integer,Easy,algorithms,"hash-table,math,string"
14,Longest Common Prefix,Easy,algorithms,"array,string,trie"
15,3Sum,Medium,algorithms,"array,two-pointers,sorting"
16,3Sum Closest,Medium,algorithms,"array,two-pointers,sorting"
17,Letter Combinations of a Phone Number,Medium,algorithms,"hash-table,string,backtracking"
18,4Sum,Medium,algorithms,"array,two-pointers,sorting"
19,Remove Nth Node From End of List,Medium,algorithms,"linked-list,two-pointers"
20,Valid Parentheses,Easy,algorithms,"string,stack"
21,Merge Two Sorted Lists,Easy,algorithms,"linked-list,recursion"
22,Generate Parentheses,Medium,algorithms,"string,dynamic-programming,backtracking"
23,Merge k Sorted Lists,Hard,algorithms,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort"
24,Swap Nodes in Pairs,Medium,algorithms,"linked-list,recursion"
25,Reverse Nodes in k-Group,Hard,algorithms,"linked-list,recursion"
26,Remove Duplicates from Sorted Array,Easy,algorithms,"array,two-pointers"
27,Remove Element,Easy,algorithms,"array,two-pointers"
28,Find the Index of the First Occurrence in a String,Easy,algorithms,"two-pointers,string,string-matching"
29,Divide Two Integers,Medium,algorithms,"math,bit-manipulation"
30,Substring with Concatenation of All Words,Hard,algorithms,"hash-table,string,sliding-window"
31,Next Permutation,Medium,algorithms,"array,two-pointers"
32,Longest Valid Parentheses,Hard,algorithms,"string,dynamic-programming,stack"
33,Search in Rotated Sorted Array,Medium,algorithms,"array,binary-search"
34,Find First and Last Position of Element in Sorted Array,Medium,algorithms,"array,binary-search"
35,Search Insert Position,Easy,algorithms,"array,binary-search"
36,Valid Sudoku,Medium,algorithms,"array,hash-table,matrix"
37,Sudoku Solver,Hard,algorithms,"array,hash-table,backtracking,matrix"
38,Count and Say,Medium,algorithms,string
39,Combination Sum,Medium,algorithms,"array,backtracking"
40,Combination Sum II,Medium,algorithms,"array,backtracking"
41,First Missing Positive,Hard,algorithms,"array,hash-table"
42,Trapping Rain Water,Hard,algorithms,"array,two-pointers,dynamic-programming,stack,monotonic-stack"
43,Multiply Strings,Medium,algorithms,"math,string,simulation"
44,Wildcard Matching,Hard,algorithms,"string,dynamic-programming,greedy,recursion"
45,Jump Game II,Medium,algorithms,"array,dynamic-programming,greedy"
46,Permutations,Medium,algorithms,"array,backtracking"
47,Permutations II,Medium,algorithms,"array,backtracking,sorting"
48,Rotate Image,Medium,algorithms,"array,math,matrix"
49,Group Anagrams,Medium,algorithms,"array,hash-table,string,sorting"
50,"Pow(x, n)",Medium,algorithms,"math,recursion"
51,N-Queens,Hard,algorithms,"array,backtracking"
52,N-Queens II,Hard,algorithms,backtracking
53,Maximum Subarray,Medium,algorithms,"array,divide-and-conquer,dynamic-programming"
54,Spiral Matrix,Medium,algorithms,"array,matrix,simulation"
55,Jump Game,Medium,algorithms,"array,dynamic-programming,greedy"
56,Merge Intervals,Medium,algorithms,"array,sorting"
57,Insert Interval,Medium,algorithms,array
58,Length of Last Word,Easy,algorithms,string
59,Spiral Matrix II,Medium,algorithms,"array,matrix,simulation"
60,Permutation Sequence,Hard,algorithms,"math,recursion"
61,Rotate List,Medium,algorithms,"linked-list,two-pointers"
62,Unique Paths,Medium,algorithms,"math,dynamic-programming,combinatorics"
63,Unique Paths II,Medium,algorithms,"array,dynamic-programming,matrix"
64,Minimum Path Sum,Medium,algorithms,"array,dynamic-programming,matrix"
65,Valid Number,Hard,algorithms,string
66,Plus One,Easy,algorithms,"array,math"
67,Add Binary,Easy,algorithms,"math,string,bit-manipulation,simulation"
68,Text Justification,Hard,algorithms,"array,string,simulation"
69,Sqrt(x),Easy,algorithms,"math,binary-search"
70,Climbing Stairs,Easy,algorithms,"math,dynamic-programming,memoization"
71,Simplify Path,Medium,algorithms,"string,stack"
72,Edit Distance,Medium,algorithms,"string,dynamic-programming"
73,Set Matrix Zeroes,Medium,algorithms,"array,hash-table,matrix"
74,Search a 2D Matrix,Medium,algorithms,"array,binary-search,matrix"
75,Sort Colors,Medium,algorithms,"array,two-pointers,sorting"
76,Minimum Window Substring,Hard,algorithms,"hash-table,string,sliding-window"
77,Combinations,Medium,algorithms,backtracking
78,Subsets,Medium,algorithms,"array,backtracking,bit-manipulation"
79,Word Search,Medium,algorithms,"array,string,backtracking,depth-first-search,matrix"
80,Remove Duplicates from Sorted Array II,Medium,algorithms,"array,two-pointers"
81,Search in Rotated Sorted Array II,Medium,algorithms,"array,binary-search"
82,Remove Duplicates from Sorted List II,Medium,algorithms,"linked-list,two-pointers"
83,Remove Duplicates from Sorted List,Easy,algorithms,linked-list
84,Largest Rectangle in Histogram,Hard,algorithms,"array,stack,monotonic-stack"
85,Maximal Rectangle,Hard,algorithms,"array,dynamic-programming,stack,matrix,monotonic-stack"
86,Partition List,Medium,algorithms,"linked-list,two-pointers"
87,Scramble String,Hard,algorithms,"string,dynamic-programming"
88,Merge Sorted Array,Easy,algorithms,"array,two-pointers,sorting"
89,Gray Code,Medium,algorithms,"math,backtracking,bit-manipulation"
90,Subsets II,Medium,algorithms,"array,backtracking,bit-manipulation"
91,Decode Ways,Medium,algorithms,"string,dynamic-programming"
92,Reverse Linked List II,Medium,algorithms,linked-list
93,Restore IP Addresses,Medium,algorithms,"string,backtracking"
94,Binary Tree Inorder Traversal,Easy,algorithms,"stack,tree,depth-first-search,binary-tree"
95,Unique Binary Search Trees II,Medium,algorithms,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree"
96,Unique Binary Search Trees,Medium,algorithms,"math,dynamic-programming,tree,binary-search-tree,binary-tree"
97,Interleaving String,Medium,algorithms,"string,dynamic-programming"
